ID,kID,kName,kResult,Not Transit-Like Flag,Stellar Eclipse Flag,Centroid Offset Flag,Ephemeris Match Indicates Contamination Flag,  Orbital Period (days),Transit Epoch ,Transit Duration (hours) ,Right Ascension, KIC Declination,Kepler-band
27,10682541,K00751.01,CONFIRMED,0,0,0,0,4.996779680,171.7420800,2.17170,297.808260,47.946671,15861
28,11460018,K00769.01,CONFIRMED,0,0,0,0,4.280963604,171.8965900,2.87500,294.265810,49.314091,15356
29,11463211,K00770.01,FALSE POSITIVE,0,0,1,0,1.506354090,170.9980640,1.51550,295.665220,49.351009,15525
30,11465813,K00771.01,FALSE POSITIVE,1,0,0,0,670.645531000,209.0435500,53.41200,296.698610,49.316479,15207
31,11493732,K00772.01,FALSE POSITIVE,0,1,0,0,61.256362800,173.8382600,7.63300,283.725920,49.479519,15250
32,11507101,K00773.01,CONFIRMED,0,0,0,0,38.377548600,172.8204800,5.58800,291.722020,49.480869,15172
33,10910878,K00757.02,CONFIRMED,0,0,0,0,41.197255020,165.0040400,4.62970,286.999480,48.375790,15841
34,10910878,K00757.03,CONFIRMED,0,0,0,0,6.252962249,171.3012600,2.58190,286.999480,48.375790,15841
35,10987985,K00758.01,CONFIRMED,0,0,0,0,16.013084190,176.3608000,3.25540,297.025630,48.478588,15390
36,11018648,K00759.01,CONFIRMED,0,0,0,0,32.628766720,194.1019000,4.79710,285.718540,48.505859,15082
37,11018648,K00759.02,CONFIRMED,0,0,0,0,91.773286200,193.8378000,6.47300,285.718540,48.505859,15082
38,11138155,K00760.01,CANDIDATE,0,0,0,0,4.959319244,172.2585292,2.22739,292.167050,48.727589,15263
39,11152159,K00761.01,FALSE POSITIVE,0,1,1,0,2.701287801,170.6957900,3.38270,297.923650,48.777321,15540
40,11153539,K00762.01,CONFIRMED,0,0,0,0,4.498765110,171.3490500,3.73620,298.456850,48.791592,15395
41,11242721,K00763.01,FALSE POSITIVE,0,1,0,0,19.651209505,179.4019810,5.25140,291.093900,48.933842,15536
42,9579641,K00115.01,CONFIRMED,0,0,0,0,5.412203927,133.1430890,2.94720,287.887330,46.276241,12791
43,11304958,K00764.01,CONFIRMED,0,0,0,0,41.439586620,208.9320300,10.59890,295.555050,49.017342,15400
44,11391957,K00765.01,CONFIRMED,0,0,0,0,8.353895230,171.6325700,2.25140,285.499240,49.277351,15317
45,11403044,K00766.01,CONFIRMED,0,0,0,0,4.125543472,169.7525850,3.17440,291.936160,49.253979,15506
46,11414511,K00767.01,CONFIRMED,0,0,0,0,2.816504904,170.9676846,2.50587,297.015470,49.225288,15052
47,11442465,K00768.01,FALSE POSITIVE,0,1,1,0,33.933734470,186.6760800,14.56100,284.172330,49.360722,15716
48,12110942,K00786.01,CONFIRMED,0,0,0,0,3.689920099,170.3657100,2.65570,291.622410,50.618240,15242
49,12366084,K00787.01,CONFIRMED,0,0,0,0,4.431238488,171.0150000,3.15000,295.816160,51.121738,15367
50,12366084,K00787.02,CONFIRMED,0,0,0,0,11.379369860,133.8499200,2.62550,295.816160,51.121738,15367
51,12404086,K00788.01,CONFIRMED,0,0,0,0,26.394328970,176.0545900,3.57300,289.399720,51.250320,15234
52,8395660,K00116.01,CONFIRMED,0,0,0,0,13.570782810,136.2791940,3.35390,300.863980,44.337551,12882
53,9579641,K00115.02,CONFIRMED,0,0,0,0,7.125943870,139.0049200,3.00140,287.887330,46.276241,12791
54,11656840,K00774.01,FALSE POSITIVE,0,1,0,0,7.442652004,169.9717797,2.30780,288.986820,49.733742,15270
55,11754553,K00775.01,CONFIRMED,0,0,0,0,16.384899880,172.7278200,3.02490,286.738040,49.975750,15095
56,11754553,K00775.02,CONFIRMED,0,0,0,0,7.877416300,176.3759000,2.08050,286.738040,49.975750,15095
57,11754553,K00775.03,CONFIRMED,0,0,0,0,36.445400100,151.6012500,4.00700,286.738040,49.975750,15095
58,11812062,K00776.01,CONFIRMED,0,0,0,0,3.728732147,171.7932550,2.68300,290.785740,50.054119,15523
59,11818800,K00777.01,CANDIDATE,0,0,0,0,40.419503700,173.5646900,3.36200,294.316860,50.080231,15487
60,11853255,K00778.01,CONFIRMED,0,0,0,0,2.243380573,170.6792330,1.11960,285.176210,50.149818,15135
61,11909839,K00779.01,FALSE POSITIVE,0,1,0,0,10.405998015,177.1974660,6.50360,289.235530,50.241001,15562
62,11918099,K00780.01,CONFIRMED,0,0,0,0,2.337437946,171.7619820,1.99820,293.833310,50.230350,15334
63,11918099,K00780.02,CANDIDATE,0,0,0,0,7.240661200,137.7554500,0.55800,293.833310,50.230350,15334
64,9579641,K00115.03,CANDIDATE,0,0,0,0,3.435916310,132.6624000,3.13300,287.887330,46.276241,12791
65,11923270,K00781.01,CONFIRMED,0,0,0,0,11.598222330,180.3953760,2.52370,296.221950,50.287220,15937
66,11960862,K00782.01,CONFIRMED,0,0,0,0,6.575315881,173.6340440,4.30840,290.098050,50.321609,15312
67,12020329,K00783.01,CONFIRMED,0,0,0,0,7.275040844,169.9942170,7.53770,295.455290,50.494560,15080
68,12066335,K00784.01,CONFIRMED,0,0,0,0,19.271538920,186.7709300,2.75940,293.973360,50.531910,15385
69,12066335,K00784.02,CONFIRMED,0,0,0,0,10.065243170,136.2890600,1.36900,293.973360,50.531910,15385
70,12070811,K00785.01,CONFIRMED,0,0,0,0,12.393565100,178.7472500,3.88960,296.021330,50.567780,15505
71,8395660,K00116.02,CONFIRMED,0,0,0,0,43.844397210,151.9353800,6.80200,300.863980,44.337551,12882
72,3120431,K00798.01,FALSE POSITIVE,0,1,1,0,3.341913228,171.6394300,3.81300,292.315950,38.270290,15629
73,3246984,K00799.01,CANDIDATE,0,0,0,0,1.626630225,169.8201710,2.11450,294.368190,38.310280,15279
74,3342970,K00800.01,CONFIRMED,0,0,0,0,2.711504086,170.0341700,3.00990,291.653530,38.494659,15541
75,3342970,K00800.02,CONFIRMED,0,0,0,0,7.212037480,172.8178200,4.04910,291.653530,38.494659,15541
76,12459725,K00789.01,FALSE POSITIVE,0,0,0,1,14.179818700,171.5023700,2.50500,291.044800,51.321671,15727
77,12470844,K00790.01,CONFIRMED,0,0,0,0,8.472379110,174.1621200,2.72450,296.366520,51.319519,15339
78,12470844,K00790.02,CONFIRMED,0,0,0,0,60.418936900,181.1636700,5.03900,296.366520,51.319519,15339
79,12644822,K00791.01,CONFIRMED,0,0,0,0,12.611904345,180.8922840,5.14970,289.112210,51.737381,15140
80,2440757,K00792.01,FALSE POSITIVE,0,1,0,0,1.433769925,170.4035360,1.88680,290.843690,37.728828,15122
81,2445129,K00793.01,FALSE POSITIVE,0,1,1,0,10.318723010,173.3154300,3.83600,291.848910,37.713501,15065
82,2713049,K00794.01,CONFIRMED,0,0,0,0,2.539183147,169.6749400,2.42820,291.439970,37.905659,15026
83,3114167,K00795.01,CONFIRMED,0,0,0,0,6.770300385,170.5766200,2.08440,290.870510,38.273628,15591
84,3114661,K00796.01,FALSE POSITIVE,0,1,1,1,0.444291966,169.8654060,2.07920,290.996890,38.284920,15748
85,3115833,K00797.01,CANDIDATE,0,0,0,0,10.181584004,177.1418910,3.50890,291.281950,38.241669,15657
86,4139816,K00812.02,CONFIRMED,0,0,0,0,20.060363360,147.4655400,3.32030,286.079130,39.278320,15954
87,4139816,K00812.03,CONFIRMED,0,0,0,0,46.184203900,165.2372900,4.75800,286.079130,39.278320,15954
88,8395660,K00116.04,CONFIRMED,0,0,0,0,23.980085400,147.5370000,5.35100,300.863980,44.337551,12882
89,4139816,K00812.04,CONFIRMED,0,0,0,0,7.825021680,136.5499500,2.18600,286.079130,39.278320,15954
90,4275191,K00813.01,CONFIRMED,0,0,0,0,3.895936525,170.5275520,2.31110,294.655240,39.308361,15725
91,4476123,K00814.01,CONFIRMED,0,0,0,0,22.366464660,175.4586200,5.22800,294.710630,39.521740,15583
92,3351888,K00801.01,CONFIRMED,0,0,0,0,1.625522174,170.8266564,2.38963,293.871920,38.422939,15001
93,3453214,K00802.01,CANDIDATE,0,0,0,0,19.620346923,181.8818190,2.00380,293.816190,38.563568,15562
94,3554600,K00803.01,FALSE POSITIVE,1,0,1,0,7.544039000,171.7982000,6.22200,293.941160,38.601101,15559
95,3641726,K00804.01,CANDIDATE,0,0,0,0,9.029306890,177.2042200,3.14490,290.333620,38.728230,15387
96,3734868,K00805.01,FALSE POSITIVE,0,1,0,0,10.328035714,174.5810540,7.79150,287.696750,38.886452,15646
97,3832474,K00806.01,CONFIRMED,0,0,0,0,143.206304700,154.2355200,8.93020,285.283630,38.947281,15403
98,8395660,K00116.03,CONFIRMED,0,0,0,0,6.164876000,135.6391600,3.26200,300.863980,44.337551,12882
99,3832474,K00806.02,CONFIRMED,0,0,0,0,60.324942160,243.8925780,6.61880,285.283630,38.947281,15403
100,3832474,K00806.03,CONFIRMED,0,0,0,0,29.159861500,150.6992200,4.80300,285.283630,38.947281,15403
101,3836375,K00807.01,FALSE POSITIVE,0,0,1,1,1.540397253,170.5047900,2.15410,286.926390,38.921631,15974
102,3838486,K00808.01,FALSE POSITIVE,0,0,1,1,2.990254430,171.9834000,5.41400,287.748810,38.929550,15842
103,3935914,K00809.01,CONFIRMED,0,0,0,0,1.594745374,170.6483505,1.96040,285.213810,39.027481,15530
104,3940418,K00810.01,CANDIDATE,0,0,0,0,4.783002698,170.5084340,2.33500,287.093990,39.060719,15119
105,4049131,K00811.01,CONFIRMED,0,0,0,0,20.505889210,181.4342800,4.05950,289.315430,39.153278,15398
106,4139816,K00812.01,CONFIRMED,0,0,0,0,3.340218842,171.9790620,1.91040,286.079130,39.278320,15954
107,5287983,K00828.01,FALSE POSITIVE,0,1,1,0,2.507089906,171.0024550,2.00670,295.378050,40.493401,15555
108,5358241,K00829.01,CONFIRMED,0,0,0,0,18.649327280,174.7710000,4.40560,290.461760,40.562462,15386
109,10875245,K00117.02,CONFIRMED,0,0,0,0,4.901449760,138.6054800,4.16540,297.028260,48.208611,12487
110,5358241,K00829.02,CONFIRMED,0,0,0,0,9.751921010,138.7860800,4.79300,290.461760,40.562462,15386
111,5358241,K00829.03,CONFIRMED,0,0,0,0,38.557654600,163.8506300,5.79400,290.461760,40.562462,15386
112,5358624,K00830.01,CONFIRMED,0,0,0,0,3.525632539,170.0479951,2.59959,290.581730,40.577400,15224
113,4544670,K00815.01,CANDIDATE,0,0,0,0,34.843986440,172.6332520,2.93150,285.920010,39.624828,15684
114,4664847,K00816.01,CONFIRMED,0,0,0,0,7.748094239,174.9972060,3.59570,294.489900,39.771439,15670
115,4725681,K00817.01,CONFIRMED,0,0,0,0,23.967936690,186.2218200,3.82700,283.866390,39.898079,15414
116,4913852,K00818.01,CONFIRMED,0,0,0,0,8.114374820,176.3396800,2.27360,288.812010,40.033401,15877
117,4932348,K00819.01,FALSE POSITIVE,0,1,0,0,38.036729482,196.9349470,4.34617,294.147890,40.055538,15472
118,4936180,K00820.01,FALSE POSITIVE,0,1,0,0,4.640900310,173.6463800,35.51200,295.113710,40.071171,15270
119,11913073,K00011.01,FALSE POSITIVE,0,1,1,1,3.747838198,171.6650400,5.06420,291.061520,50.265129,13496
120,10875245,K00117.01,CONFIRMED,0,0,0,0,14.749148250,138.7779900,6.09950,297.028260,48.208611,12487
121,5021899,K00821.01,CONFIRMED,0,0,0,0,21.812959960,174.0108500,4.37910,294.776860,40.153740,15540
122,5077629,K00822.01,FALSE POSITIVE,0,1,0,0,7.919369370,172.1810920,3.31480,283.538450,40.217999,15805
123,5115978,K00823.01,CANDIDATE,0,0,0,0,1.028436523,170.2285820,1.86060,296.006990,40.295429,15202
124,5164255,K00824.01,CONFIRMED,0,0,0,0,15.375623690,173.6140200,3.31690,283.253540,40.358189,16422
125,5252423,K00825.01,CONFIRMED,0,0,0,0,8.103632710,176.9486000,3.16100,283.221410,40.421829,15289
126,5252423,K00825.02,CONFIRMED,0,0,0,0,4.715108430,134.9617800,2.50600,283.221410,40.421829,15289
127,5272878,K00826.01,CONFIRMED,0,0,0,0,6.365839713,171.1357500,2.97210,291.149510,40.420521,15090
128,5283542,K00827.01,FALSE POSITIVE,0,0,1,0,5.975817540,174.7760200,3.06500,294.223970,40.417858,15546
129,5649215,K00839.01,FALSE POSITIVE,0,0,1,1,2.446737317,170.6695100,4.72110,298.961120,40.862808,15021
130,5651104,K00840.01,CONFIRMED,0,0,0,0,3.040330460,169.9490106,1.84110,299.316100,40.822380,15028
131,5792202,K00841.01,CONFIRMED,0,0,0,0,15.335286750,174.0027800,3.89700,292.236760,41.085880,15855
132,10875245,K00117.04,CONFIRMED,0,0,0,0,7.958253280,137.8021900,4.37700,297.028260,48.208611,12487
133,5792202,K00841.02,CONFIRMED,0,0,0,0,31.330461350,153.4303100,5.17600,292.236760,41.085880,15855
134,5370302,K00831.01,FALSE POSITIVE,0,1,0,0,3.904342500,173.3937340,3.83100,294.056760,40.549679,15016
135,5372966,K00832.01,FALSE POSITIVE,0,1,0,0,9.286358079,171.8214689,3.49949,294.743960,40.533920,15365
136,5376067,K00833.01,FALSE POSITIVE,0,1,0,0,3.951405455,173.2761250,2.18620,295.504390,40.505489,15446
137,5436502,K00834.01,CONFIRMED,0,0,0,0,23.653694150,171.3761070,8.21830,287.897130,40.637821,15084
138,5436502,K00834.02,CONFIRMED,0,0,0,0,13.233522140,140.3219600,6.73720,287.897130,40.637821,15084
139,5436502,K00834.03,CONFIRMED,0,0,0,0,6.155602850,134.8165600,4.98430,287.897130,40.637821,15084
140,5436502,K00834.04,CONFIRMED,0,0,0,0,2.090811305,134.1746200,3.38800,287.897130,40.637821,15084
141,10875245,K00117.03,CONFIRMED,0,0,0,0,3.180027898,133.4986300,3.57970,297.028260,48.208611,12487
142,5436502,K00834.05,CONFIRMED,0,0,0,0,50.446741700,178.5014000,7.15900,287.897130,40.637821,15084
143,5456651,K00835.01,CONFIRMED,0,0,0,0,11.763071640,180.9361300,2.90760,294.202150,40.663410,15208
144,5456651,K00835.02,CONFIRMED,0,0,0,0,56.227927100,132.2925900,3.57000,294.202150,40.663410,15208
145,5481416,K00836.01,FALSE POSITIVE,0,1,1,1,2.384052875,171.5836200,3.09180,299.642850,40.691238,15836
146,5531576,K00837.01,CONFIRMED,0,0,0,0,7.953547000,174.6622400,2.63120,291.158780,40.750271,15660
147,5531576,K00837.02,CONFIRMED,0,0,0,0,4.144516560,135.9283100,2.34210,291.158780,40.750271,15660
148,5534814,K00838.01,FALSE POSITIVE,0,1,0,0,4.859386384,173.0114690,2.27570,292.214360,40.759762,15311
149,6291653,K00850.01,CONFIRMED,0,0,0,0,10.526294577,176.5224620,2.52110,293.878110,41.661770,15305
150,6392727,K00851.01,CONFIRMED,0,0,0,0,4.583520948,169.9739720,2.70550,299.186860,41.742680,15287
151,6422070,K00852.01,CONFIRMED,0,0,0,0,3.761818430,171.9036400,3.51760,283.316380,41.837120,15257
152,6428700,K00853.01,CONFIRMED,0,0,0,0,8.203969580,169.6913800,2.96670,286.565700,41.808399,15376
153,6428700,K00853.02,CONFIRMED,0,0,0,0,14.496451860,143.4165900,4.01600,286.565700,41.808399,15376
154,5792202,K00841.03,CANDIDATE,0,0,0,0,6.546261490,133.8596400,2.75000,292.236760,41.085880,15855
155,5794379,K00842.01,CONFIRMED,0,0,0,0,12.718098660,175.3552600,3.09570,292.913120,41.060921,15389
156,5794379,K00842.02,CONFIRMED,0,0,0,0,36.065881630,198.5842300,4.32460,292.913120,41.060921,15389
157,5881688,K00843.01,CONFIRMED,0,0,0,0,4.190425659,171.4412200,2.85890,293.496610,41.137589,15270
158,6022556,K00844.01,CONFIRMED,0,0,0,0,3.709870784,171.9879820,3.06940,283.864410,41.346458,15581
159,6032497,K00845.01,CONFIRMED,0,0,0,0,16.329752700,177.2950600,6.27100,288.510010,41.301769,15447
160,6061119,K00846.01,CONFIRMED,0,0,0,0,27.807566216,186.7135520,4.21587,296.888210,41.396091,15482
161,6191521,K00847.01,CONFIRMED,0,0,0,0,80.872346900,203.8950000,11.19500,287.154300,41.565788,15201
162,6267425,K00848.01,FALSE POSITIVE,0,1,1,0,3.166465862,172.0026270,2.93810,284.869290,41.679192,15999
163,3531558,K00118.01,CONFIRMED,0,0,0,0,24.993243190,138.6816700,5.94090,287.362790,38.649601,12377
164,6276477,K00849.01,CONFIRMED,0,0,0,0,10.355331160,170.9372900,3.17750,288.994200,41.633282,15018
165,6863998,K00867.01,CONFIRMED,0,0,0,0,16.085189370,180.2831900,3.98400,292.105190,42.380322,15219
166,6867155,K00868.01,CANDIDATE,0,0,0,0,235.998639900,208.3998220,8.22840,293.007970,42.307201,15172
167,6948054,K00869.01,CONFIRMED,0,0,0,0,7.490183050,174.9503700,2.72970,291.638980,42.436321,15599
168,6948054,K00869.02,CONFIRMED,0,0,0,0,36.276123800,201.2869000,4.78650,291.638980,42.436321,15599
169,6948054,K00869.03,CONFIRMED,0,0,0,0,17.460879310,137.2659400,2.26410,291.638980,42.436321,15599
170,6435936,K00854.01,CONFIRMED,0,0,0,0,56.056075400,201.1657800,4.68500,289.508480,41.812119,15849
171,6522242,K00855.01,CONFIRMED,0,0,0,0,41.408316686,195.7874500,5.02640,291.760410,41.944069,15196
172,6526710,K00856.01,CANDIDATE,0,0,0,0,39.748930770,172.8546440,7.30510,293.179290,41.969238,15344
173,6587280,K00857.01,CONFIRMED,0,0,0,0,5.715425977,174.8793100,2.52420,285.110470,42.033958,15086
174,9471974,K00119.01,CONFIRMED,0,0,0,0,49.183941850,141.9119240,11.33640,294.559170,46.062328,12654
175,6587280,K00857.02,CONFIRMED,0,0,0,0,20.026141200,146.9110900,1.61100,285.110470,42.033958,15086
176,6599919,K00858.01,FALSE POSITIVE,0,1,0,0,13.610148190,173.9873190,2.59400,289.897770,42.009151,15060
177,6675056,K00859.01,FALSE POSITIVE,0,1,1,1,10.443319910,175.4046000,2.74300,286.243560,42.148811,15546
178,6685526,K00861.01,CONFIRMED,0,0,0,0,2.237489571,170.8191400,1.81190,290.007570,42.116459,15001
179,6756669,K00862.01,FALSE POSITIVE,0,1,0,0,5.851520671,173.8228336,3.11058,284.087310,42.233231,15330
180,6784235,K00863.01,CONFIRMED,0,0,0,0,3.167893418,172.1479590,2.18140,293.816470,42.212502,15533
181,6849310,K00864.01,CONFIRMED,0,0,0,0,4.311780262,173.5764830,2.72510,287.242680,42.301369,15604
182,6849310,K00864.02,CONFIRMED,0,0,0,0,20.050449400,188.0882100,4.55600,287.242680,42.301369,15604
183,6849310,K00864.03,CONFIRMED,0,0,0,0,9.767345030,186.5771800,1.65850,287.242680,42.301369,15604
184,6862328,K00865.01,CANDIDATE,0,0,0,0,119.020704400,222.2364920,8.14050,291.583770,42.368160,15085
185,9471974,K00119.02,CONFIRMED,0,0,0,0,190.320046800,312.6849800,15.28400,294.559170,46.062328,12654
186,6862603,K00866.01,FALSE POSITIVE,0,1,1,0,2.861159894,171.6481060,1.88320,291.671720,42.343109,15618
187,7366258,K00880.01,CONFIRMED,0,0,0,0,26.444393370,194.1207400,3.97830,292.873380,42.966141,15158
188,7366258,K00880.02,CONFIRMED,0,0,0,0,51.539979720,174.0550110,6.39940,292.873380,42.966141,15158
189,7366258,K00880.03,CONFIRMED,0,0,0,0,5.902245782,136.7839300,2.90030,292.873380,42.966141,15158
190,7366258,K00880.04,CONFIRMED,0,0,0,0,2.382951591,135.0808410,1.88760,292.873380,42.966141,15158
191,7373451,K00881.01,CONFIRMED,0,0,0,0,21.022506080,207.6759300,4.10720,294.909730,42.935261,15859
192,6948054,K00869.04,CONFIRMED,0,0,0,0,3.219814777,133.0040600,2.06420,291.638980,42.436321,15599
193,6949607,K00870.01,CONFIRMED,0,0,0,0,5.912273234,172.1840120,2.32540,292.137020,42.429420,15036
194,6949607,K00870.02,CONFIRMED,0,0,0,0,8.985819010,175.6841800,2.86060,292.137020,42.429420,15036
195,7031517,K00871.01,FALSE POSITIVE,0,1,0,0,12.940668656,179.4230140,2.48450,291.119690,42.507069,15215
196,11869052,K00120.01,CANDIDATE,0,0,0,0,20.545237500,137.9139400,2.51700,294.401920,50.172089,12003
197,7109675,K00872.01,CONFIRMED,0,0,0,0,33.601233710,186.6803430,4.40560,289.268740,42.604172,15262
198,7109675,K00872.02,CONFIRMED,0,0,0,0,6.766529280,138.0637000,2.90040,289.268740,42.604172,15262
199,7118364,K00873.01,CONFIRMED,0,0,0,0,4.347288783,172.2334300,2.10240,291.964170,42.696140,15024
200,7134976,K00874.01,CONFIRMED,0,0,0,0,4.601811819,169.9810800,2.26070,296.483430,42.663429,15024
201,7134976,K00874.02,CONFIRMED,0,0,0,0,11.187199050,137.1781400,3.25200,296.483430,42.663429,15024
202,7135852,K00875.01,CANDIDATE,0,0,0,0,4.220965778,170.6224330,3.08540,296.693940,42.626110,15692
203,7270230,K00876.01,FALSE POSITIVE,0,1,0,0,6.998099523,171.8989130,2.04880,287.884120,42.832439,15877
204,7287995,K00877.01,CONFIRMED,0,0,0,0,5.954899930,170.9558710,2.38920,293.636960,42.824970,15019
205,7287995,K00877.02,CONFIRMED,0,0,0,0,12.039874880,181.2253600,2.73630,293.636960,42.824970,15019
206,7287995,K00877.03,CONFIRMED,0,0,0,0,20.837628950,132.0848800,2.37340,293.636960,42.824970,15019
207,3247396,K00121.01,FALSE POSITIVE,0,1,1,1,8.811102200,136.4568000,5.06830,294.460880,38.383461,12759
208,7303253,K00878.01,CONFIRMED,0,0,0,0,23.589171430,173.8199400,5.07300,297.460020,42.839920,15316
209,5094751,K00123.01,CONFIRMED,0,0,0,0,6.481633073,122.9776570,3.78400,290.392730,40.284870,12365
210,7678434,K00892.01,CONFIRMED,0,0,0,0,10.371689280,172.6172900,3.03500,290.393220,43.363899,15193
211,7678434,K00892.02,CANDIDATE,0,0,0,0,3.969962980,137.7544700,1.17570,290.393220,43.363899,15193
212,7685981,K00893.01,CONFIRMED,0,0,0,0,4.408413310,172.1858200,5.01200,292.965550,43.346390,15662
213,7708215,K00894.01,FALSE POSITIVE,0,1,1,1,7.942617600,174.5256300,6.70300,299.001430,43.399632,15260
214,7373451,K00881.02,CONFIRMED,0,0,0,0,226.890477500,207.3597100,7.55800,294.909730,42.935261,15859
215,7377033,K00882.01,FALSE POSITIVE,0,1,0,0,1.956811408,170.6942080,2.19580,295.835360,42.943062,15533
216,7380537,K00883.01,CANDIDATE,0,0,0,0,2.688899233,170.1020904,2.11275,296.683070,42.967869,15766
217,7434875,K00884.01,CONFIRMED,0,0,0,0,9.439459486,177.1860960,2.89790,288.642520,43.039291,15067
218,8349582,K00122.01,CONFIRMED,0,0,0,0,11.523067458,131.9690550,3.87570,284.482450,44.398041,12346
219,7434875,K00884.02,CONFIRMED,1,0,0,0,20.477488430,178.6678600,2.83640,288.642520,43.039291,15067
220,7434875,K00884.03,CONFIRMED,0,0,0,0,3.336123113,135.3162300,1.96160,288.642520,43.039291,15067
221,7455287,K00886.01,CONFIRMED,0,0,0,0,8.010784560,170.2073900,2.31200,294.773930,43.056301,15847
222,7455287,K00886.02,CONFIRMED,0,0,0,0,12.071342050,143.4594800,4.32240,294.773930,43.056301,15847
223,7455287,K00886.03,CONFIRMED,0,0,0,0,20.995878720,152.3155400,2.63330,294.773930,43.056301,15847
224,7458762,K00887.01,CONFIRMED,0,0,0,0,7.411131770,175.3475400,2.52420,295.651490,43.029831,15031
225,7552344,K00888.01,FALSE POSITIVE,0,1,0,0,1.000747038,169.9742290,0.99670,297.975130,43.164909,15419
226,757450,K00889.01,CONFIRMED,0,0,0,0,8.884922995,169.9916860,2.07004,291.137600,36.577381,15264
227,7585481,K00890.01,CONFIRMED,0,0,0,0,8.098889060,176.6237310,4.20241,282.699520,43.272739,15261
228,7663691,K00891.01,CONFIRMED,0,0,0,0,10.006530120,176.9689800,5.34400,283.630770,43.379398,15063
229,5812701,K00012.01,CONFIRMED,0,0,0,0,17.855221681,146.5964660,7.41287,297.453740,41.010990,11353
230,8013419,K00901.01,CANDIDATE,0,0,0,0,12.732624065,176.9390540,2.20830,285.167480,43.876339,15750
231,8018547,K00902.01,CANDIDATE,0,0,0,0,83.924940320,236.7633400,6.79040,287.852390,43.897991,15754
232,8039892,K00903.01,CONFIRMED,0,0,0,0,5.007316661,173.4339970,4.23620,295.536130,43.884449,15813
233,8150320,K00904.01,CONFIRMED,0,0,0,0,2.211116989,170.1501390,1.64850,285.168330,44.026459,15791
234,8150320,K00904.02,CONFIRMED,0,0,0,0,27.954133700,178.7379100,3.95000,285.168330,44.026459,15791
